name,taxId,email,accountTypes,phone,address,businessName,representative,documentType,alternatePhone,country,accountCode,notes
MCX LOGISTICS GROUP,MCX,medinaarrindell@gmail.com,COMPANY;CARRIER;CONSIGNEE;SHIPPER;INDIVIDUAL,8095498800,"LAS AMERICA KM 25 #30, Santo",,,RNC,,DO,MCX,Own Company Account
JMC XPRESS CUSTOMS SRL,131619312,INFO@MEDINACARGOXPRESS.COM,CONSIGNEE;COMPANY,809-549-0424,"LAS AMAERICAS KM 25 # 30, Santo Domingo Este",,,RNC,,DO,JMC,
Ecu Trucing,MCX-3,mcx-3@mcxpending.com,CARRIER;COMPANY,(833) 328-7447,"2401 Northwest 69th Street, Miami",,,,,,MCX-3,
IRON PLANET,MCX-4,mcx-4@mcxpending.com,INDIVIDUAL;CONSIGNEE,18007776666,"8006 Lorton Road, Lorton",,,,,,MCX-4,
BBC LOGISTICS,MCX-5,mcx-5@mcxpending.com,INDIVIDUAL;CONSIGNEE;CARRIER;COMPANY;SHIPPER,305-777-6666,"2016 Northwest 135th Avenue, Miami",,,,,,MCX-5,
MAERKS LINE,MCX-6,mcx-6@mcxpending.com,CARRIER;COMPANY,,"TORRE PROFECIONAL, SANTO DOMINIGO",,,RNC,,DO,MCX-6,
Seaboard Marine,SMLU,smlu@mcxpending.com,CARRIER;COMPANY,,Miami,,,,,,SMLU,
Lan  Import &  Export   S.A,MCX-8,trafico1@lanimportzl.com,SHIPPER;CARRIER,+(507) 439-8573,"Calle 4a France Field, Col?n",,,,,,MCX-8,
VAL CARGO EXPRESS SRL,130273944,jleon@valcargoexpress.com,CONSIGNEE;COMPANY;CARRIER;SHIPPER,829-810-0900,"C./ Roberto Pastoriza #874, Ensanche Quisqueya, DISTRITO NACIONAL",,,RNC,,DO,MCX-9,
D & R OCEAN TRADING COMPANY SRL,MCX-10,droceantradingc@gmail.com,INDIVIDUAL;CONSIGNEE,8097215151,"AV. LAS AMERICAS, KM. 14, CALLE PRIMERA
NUM . 12 URB. LOS LAURELES, SANTO DOMINGO ESTE",,,RNC,,DO,MCX-10,
POLIVEKTRIS,MCX-11,strap@polivektris.lt,SHIPPER,+370 686 25308,Ja?iunai,,,,,,MCX-11,
Juan de los santos,MCX-12,mcx-12@mcxpending.com,CARRIER;COMPANY,,Santo Domingo Este,,,RNC,,DO,MCX-12,
fumi,MCX-13,mcx-13@mcxpending.com,COMPANY,,,,,,,,MCX-13,
CMA CGM,MCX-14,mcx-14@mcxpending.com,CARRIER;COMPANY,,"504 Avenida Abraham Lincoln, Santo Domingo",,,RNC,,DO,MCX-14,
CORROGO CHINA LIMITED,MCX-15,sales@corrogo.shop,SHIPPER,8.62E+12,"#898 TIANHE N. ROAD, RM 17-18, 33RD
FLOOR INFO SOURCE PLAZA ,USCI: 91440101MA5CX0DP42, GUANGZHOU",,,,,,MCX-15,
SEGURO HOLA,MCX-17,mcx-17@mcxpending.com,COMPANY,,,,,,,,MCX-17,
Puerto multimodal Caucedo,MCX-18,mcx-18@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-18,
Puerto Haina Oriental,MCX-19,mcx-19@mcxpending.com,INDIVIDUAL;CONSIGNEE,,,,,,,,MCX-19,
DAMANI REALTY SEVICES SRL,MCX-21,info.damanirealtyservices@gmail.com,CONSIGNEE,829-362-7061,"CALLE 1 #3, ATARTIDA, HIGUEY",,,RNC,,DO,MCX-21,
"HENAN DINISI ENTERTAINMENT TECHNOLOGY CO., LTD",MCX-22,mcx-22@mcxpending.com,INDIVIDUAL;CONSIGNEE,-13995,"Jin Hua Lu, Zheng Zhou Shi",,,,,,MCX-22,
ALMACENES LOGISTICOS DIF,MCX-23,mcx-23@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Prolongaci?n Avenida 27 de Febrero, Santo Domingo",,,RNC,,DO,MCX-23,
Karl Schmidt Manufacturing,MCX-24,mcx-24@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"3900 East 68th Avenue, Commerce City",,,,,,MCX-24,
Parque Industrial El Rinconcito,MCX-25,mcx-25@mcxpending.com,INDIVIDUAL;CONSIGNEE,,"Carretera a Santa Ana km. 28 1/2, Zona industrial El Rinconcito, San Juan de Opico",,,,,,MCX-25,
ALL BUSINESS LOGISTICS SUPPORT,MCX-26,info.sal@allbusiness-ls.com,COMPANY,+(503) 2528-3607,"Calle San Antonio Abad, Pasaje Valdivieso #15, San
Salvador, El Salvador, San Salvador",,,,,,MCX-26,
V5 COLLECTION SRL,131346202,CAMILAMINAYA4@GMAIL.COM,CONSIGNEE,829-721-7276,"Calle Baltazara de los Reyes #5, Santo Domingo",,,RNC,,DO,MCX-27,
MSC,MSCU,mscu@mcxpending.com,CARRIER;COMPANY,,"1751 North Cruise Boulevard, Miami",,,,,,MSCU,
DESPACHOS PORTUARIOS HISPANIOLA,MCX-29,mcx-29@mcxpending.com,COMPANY,,Santo Domingo,,,RNC,,DO,MCX-29,
YUDELCA  SANTOS GRULLON,809-543-8337,mcx-31@mcxpending.com,CONSIGNEE,809-543-8337,"9 Calle 14 , LA ZURZA III, Santiago de los Caballeros",,,RNC,,DO,MCX-31,
EXTRAMODA ABDEL SRL,MCX-32,extramoda@hotamil.com,CONSIGNEE,8096860000,C/ Sanchez Valverde no. 57,,,,,,MCX-32,
ZIM INTEGRATED SHIPPING SERVICES LTD,MCX-33,mcx-33@mcxpending.com,CARRIER;COMPANY,,"504 Avenida Abraham Lincoln, Santo Domingo",,,RNC,,DO,MCX-33,
YIWU DONGCHENG INTERNATIONAL TRADING LTD,MCX-34,mcx-34@mcxpending.com,SHIPPER,,"Room 201-2, Unit 1 Building 68, Chengxi no.3, Futian Street, Yiwu, Jinhua",,,,,,MCX-34,
ELECTRONES DEL CARIBE SRL,131642901,mcx-35@mcxpending.com,CONSIGNEE,809-549-8800,"C/FLAMENCO NO. 21, DOMINICAN REPUBLIC",,,,,,MCX-35,
OOCL,OOCL,oocl@mcxpending.com,CARRIER;COMPANY,,"2 Calle El Recodo, Santo Domingo",,,RNC,,DO,OOCL,
HONGKONG GULAI LIMITED,MCX-37,mcx-37@mcxpending.com,SHIPPER,,"UNIT 1507C, 15/F., EASTCORE, 398 KWUN TONG ROAD, KWUN TONG, KLN, HONG KONG",,,,,,MCX-37,
